Error in cpuinfo: prctl(PR_SVE_GET_VL) failed
INFO: Created TensorFlow Lite XNNPACK delegate for CPU.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
W0000 00:00:1767906674.816057 2312371 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
W0000 00:00:1767906674.999445 2312371 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
======================================================================
PERFORMANCE BASELINE TEST - Raspberry Pi
Story 8.2: MediaPipe Tasks API (0.10.18)
======================================================================
Duration: 300s (5 minutes)
Started: 2026-01-08 21:11:05

Importing dependencies...
✅ Imports completed in 8.28s

Creating Flask app...
Initializing CV components...
✅ CV components initialized in 0.62s

Running performance test for 300s...
Target: 10 FPS = 3000 frames

Metrics captured every second:
  - Memory (RSS): Resident Set Size
  - CPU (%): Per-core average
  - FPS: Frames processed per second

[  61s] Memory:  240.8 MB | CPU:   0.0% | FPS:  3.23 | Frames:   198 | Crashes: 0
[  62s] Memory:  240.8 MB | CPU:   0.0% | FPS:  3.23 | Frames:   201 | Crashes: 0
[  63s] Memory:  240.8 MB | CPU:   0.0% | FPS:  3.22 | Frames:   204 | Crashes: 0
[  64s] Memory:  240.8 MB | CPU:   0.0% | FPS:  3.22 | Frames:   208 | Crashes: 0
[  65s] Memory:  240.8 MB | CPU:   0.0% | FPS:  3.23 | Frames:   212 | Crashes: 0
[  66s] Memory:  240.8 MB | CPU:  10.0% | FPS:  3.22 | Frames:   215 | Crashes: 0
[  67s] Memory:  240.8 MB | CPU:   0.0% | FPS:  3.23 | Frames:   219 | Crashes: 0
[  68s] Memory:  240.9 MB | CPU:   0.0% | FPS:  3.22 | Frames:   222 | Crashes: 0
[  70s] Memory:  240.9 MB | CPU:  10.0% | FPS:  3.22 | Frames:   226 | Crashes: 0
[  71s] Memory:  240.9 MB | CPU:   0.0% | FPS:  3.22 | Frames:   230 | Crashes: 0
[  72s] Memory:  240.9 MB | CPU:   0.0% | FPS:  3.22 | Frames:   233 | Crashes: 0
[  73s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   236 | Crashes: 0
[  74s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   239 | Crashes: 0
[  75s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   243 | Crashes: 0
[  76s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   247 | Crashes: 0
[  77s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   251 | Crashes: 0
[  79s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   255 | Crashes: 0
[  80s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   258 | Crashes: 0
[  81s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   261 | Crashes: 0
[  82s] Memory:  241.0 MB | CPU:   9.9% | FPS:  3.21 | Frames:   264 | Crashes: 0
[  83s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.21 | Frames:   268 | Crashes: 0
[  84s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   272 | Crashes: 0
[  85s] Memory:  241.0 MB | CPU:   9.9% | FPS:  3.22 | Frames:   276 | Crashes: 0
[  86s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   280 | Crashes: 0
[  88s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.22 | Frames:   284 | Crashes: 0
