Error in cpuinfo: prctl(PR_SVE_GET_VL) failed
INFO: Created TensorFlow Lite XNNPACK delegate for CPU.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
W0000 00:00:1767907187.078007 2313589 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
W0000 00:00:1767907187.264657 2313589 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
======================================================================
PERFORMANCE BASELINE TEST - Raspberry Pi
Story 8.2: MediaPipe Tasks API (0.10.18)
======================================================================
Duration: 1800s (30 minutes)
Started: 2026-01-08 21:19:37

Importing dependencies...
✅ Imports completed in 9.08s

Creating Flask app...
Initializing CV components...
✅ CV components initialized in 0.63s

Running performance test for 1800s...
Target: 10 FPS = 18000 frames

Metrics captured every second:
  - Memory (RSS): Resident Set Size
  - CPU (%): Per-core average
  - FPS: Frames processed per second

[   1s] Memory:  239.2 MB | CPU:   0.0% | FPS:  3.43 | Frames:     4 | Crashes: 0
[   2s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.40 | Frames:     8 | Crashes: 0
[   3s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.40 | Frames:    12 | Crashes: 0
[   4s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.41 | Frames:    16 | Crashes: 0
[   5s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.46 | Frames:    20 | Crashes: 0
[   7s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.42 | Frames:    24 | Crashes: 0
[   8s] Memory:  239.9 MB | CPU:   9.9% | FPS:  3.40 | Frames:    28 | Crashes: 0
[   9s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.38 | Frames:    32 | Crashes: 0
[  10s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.46 | Frames:    37 | Crashes: 0
[  11s] Memory:  239.9 MB | CPU:   0.0% | FPS:  3.46 | Frames:    41 | Crashes: 0
[  12s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.49 | Frames:    45 | Crashes: 0
[  14s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.49 | Frames:    49 | Crashes: 0
[  15s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.49 | Frames:    53 | Crashes: 0
[  16s] Memory:  240.0 MB | CPU:   9.9% | FPS:  3.47 | Frames:    57 | Crashes: 0
[  17s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.46 | Frames:    61 | Crashes: 0
[  18s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.44 | Frames:    65 | Crashes: 0
[  20s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.44 | Frames:    69 | Crashes: 0
[  21s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.46 | Frames:    73 | Crashes: 0
[  22s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.47 | Frames:    77 | Crashes: 0
[  23s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.46 | Frames:    81 | Crashes: 0
[  24s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.46 | Frames:    85 | Crashes: 0
[  25s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.47 | Frames:    89 | Crashes: 0
[  26s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.49 | Frames:    93 | Crashes: 0
[  27s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.49 | Frames:    97 | Crashes: 0
[  28s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.50 | Frames:   101 | Crashes: 0
[  29s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.50 | Frames:   105 | Crashes: 0
[  31s] Memory:  240.0 MB | CPU:   0.0% | FPS:  3.51 | Frames:   109 | Crashes: 0
[  32s] Memory:  240.1 MB | CPU:  10.0% | FPS:  3.51 | Frames:   113 | Crashes: 0
[  33s] Memory:  240.1 MB | CPU:   0.0% | FPS:  3.50 | Frames:   117 | Crashes: 0
[  34s] Memory:  240.1 MB | CPU:   0.0% | FPS:  3.51 | Frames:   121 | Crashes: 0
[  35s] Memory:  240.1 MB | CPU:   0.0% | FPS:  3.51 | Frames:   125 | Crashes: 0
[  36s] Memory:  240.1 MB | CPU:   0.0% | FPS:  3.51 | Frames:   129 | Crashes: 0
[  37s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.51 | Frames:   133 | Crashes: 0
[  38s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.52 | Frames:   137 | Crashes: 0
[  40s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.51 | Frames:   141 | Crashes: 0
[  41s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.52 | Frames:   145 | Crashes: 0
[  42s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.51 | Frames:   149 | Crashes: 0
[  43s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.51 | Frames:   153 | Crashes: 0
[  44s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.51 | Frames:   157 | Crashes: 0
[  45s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.51 | Frames:   161 | Crashes: 0
[  46s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.51 | Frames:   165 | Crashes: 0
[  48s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.51 | Frames:   169 | Crashes: 0
[  49s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.51 | Frames:   173 | Crashes: 0
[  50s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.51 | Frames:   177 | Crashes: 0
[  51s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.50 | Frames:   181 | Crashes: 0
[  52s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.51 | Frames:   185 | Crashes: 0
[  53s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.52 | Frames:   189 | Crashes: 0
[  54s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.53 | Frames:   194 | Crashes: 0
[  56s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.53 | Frames:   198 | Crashes: 0
[  57s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.52 | Frames:   202 | Crashes: 0
[  58s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.53 | Frames:   206 | Crashes: 0
[  59s] Memory:  241.0 MB | CPU:   9.8% | FPS:  3.53 | Frames:   210 | Crashes: 0
[  60s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.53 | Frames:   214 | Crashes: 0
[  61s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.53 | Frames:   218 | Crashes: 0
[  62s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.54 | Frames:   222 | Crashes: 0
[  63s] Memory:  241.0 MB | CPU:  10.0% | FPS:  3.53 | Frames:   226 | Crashes: 0
[  65s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.53 | Frames:   230 | Crashes: 0
[  66s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.53 | Frames:   234 | Crashes: 0
[  67s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.53 | Frames:   238 | Crashes: 0
[  68s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.53 | Frames:   242 | Crashes: 0
[  69s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.53 | Frames:   246 | Crashes: 0
[  70s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.53 | Frames:   250 | Crashes: 0
[  71s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.53 | Frames:   254 | Crashes: 0
[  73s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.53 | Frames:   258 | Crashes: 0
[  74s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.53 | Frames:   262 | Crashes: 0
[  75s] Memory:  241.0 MB | CPU:   0.0% | FPS:  3.53 | Frames:   266 | Crashes: 0
